seed,alpha,method,coverage_overall,miscoverage,miscov_a0,miscov_a1,avg_utility,avg_maxmin,report_avg_maxmin,decision_avg_utility,set_size_mean,fdr_overall,action0_frequency,action1_frequency,rating1_recommend_rate,rating2_recommend_rate
0,0.005,AC-RAC,0.9903,0.009700000000000042,0.0037179657416013256,0.027946537059538312,0.3063,0.1633185,-0.0372,0.2962515,4.4237,0.7654466666666666,0.7531,0.2469,0.03776683087027915,0.05320945945945946
0,0.005,Best Response,,,,,0.6113,,,,,,0.1706,0.8294,0.41707717569786534,0.6038851351351351
0,0.005,RAC,0.9945,0.005499999999999949,0.0,0.03532434168272314,0.2104,0.1638,0.0081,0.2104,4.6805,0.7798233333333333,0.8443,0.1557,0.027914614121510674,0.030405405405405407
0,0.005,Score-1,0.995,0.0050000000000000044,0.00490098019603924,0.5,0.0002,0.0002,0.0002,0.0002,4.4493,0.7712166666666667,0.9998,0.0002,0.0,0.0
0,0.005,Score-2,0.995,0.0050000000000000044,0.00490098019603924,0.5,0.0002,0.0002,0.0002,0.0002,4.4412,0.7705416666666666,0.9998,0.0002,0.0,0.0
0,0.01,AC-RAC,0.9864,0.013599999999999945,0.008278145695364225,0.02761627906976749,0.3329,0.1816275,-0.0526,0.3240485,4.3348,0.7611616666666666,0.7248,0.2752,0.04433497536945813,0.06165540540540541
0,0.01,Best Response,,,,,0.6113,,,,,,0.1706,0.8294,0.41707717569786534,0.6038851351351351
0,0.01,RAC,0.9907,0.009299999999999975,0.0,0.041059602649006655,0.2924,0.2453,0.0188,0.2924,4.5282,0.77015,0.7735,0.2265,0.041050903119868636,0.048986486486486486
0,0.01,Score-1,0.9902,0.009800000000000031,0.009708737864077666,0.11111111111111116,0.0015,0.0009,0.0009,0.0015,4.2323,0.759155,0.9991,0.0009,0.0,0.0
0,0.01,Score-2,0.9899,0.010099999999999998,0.010010010010010006,0.09999999999999998,0.0017,0.001,0.001,0.0017,4.2228,0.7582966666666667,0.999,0.001,0.0,0.0
0,0.02,AC-RAC,0.9768,0.0232,0.018452380952380998,0.03292682926829271,0.3768,0.2201585,-0.0755,0.369924,4.183,0.754675,0.672,0.328,0.05582922824302135,0.0929054054054054
0,0.02,Best Response,,,,,0.6113,,,,,,0.1706,0.8294,0.41707717569786534,0.6038851351351351
0,0.02,RAC,0.9793,0.02070000000000005,0.0,0.06418604651162796,0.3786,0.3742,0.0517,0.3786,4.3033,0.7566666666666666,0.6775,0.3225,0.06896551724137931,0.10304054054054054
0,0.02,Score-1,0.9821,0.017900000000000027,0.017674231773448512,0.0714285714285714,0.0074,0.0042,0.0042,0.0074,3.965,0.7438466666666668,0.9958,0.0042,0.0,0.0008445945945945946
