scenario,target_prevalence,cal_size,method,target_action,target_cov,target_miscov,coverage_overall,avg_utility,set_size_mean,cov_a0,cov_a1,cov_a2,cov_a3
full,0.052930056710775,2116,AC-RAC,0,0.9271844660194176,0.0728155339805824,0.9456778460085026,6.7952290977798775,3.372933396315541,0.9271844660194176,0.9361702127659576,0.8434782608695652,0.9498189342990172
full,0.052930056710775,2116,RAC,0,0.8709923664122138,0.1290076335877862,0.9527633443552196,7.55810108644308,3.251535191308456,0.8709923664122138,0.9655172413793104,,0.9896373056994818
full,0.052930056710775,2116,Score-1,0,0.895,0.1049999999999999,0.9492205951818612,6.795465281058101,2.468351440717997,0.895,1.0,,0.951837140019861
full,0.052930056710775,2116,Score-2,0,0.8766603415559773,0.1233396584440227,0.9487482286254132,7.118327822390175,2.4192253188474258,0.8766603415559773,0.9090909090909092,,0.9592944369063772
1%,0.0098814229249011,2024,AC-RAC,0,0.93359375,0.06640625,0.9452054794520548,6.85592820028342,3.3502598016060463,0.93359375,0.9361702127659576,0.8434782608695652,0.94916142557652
1%,0.0098814229249011,2024,RAC,0,0.8709433962264151,0.1290566037735848,0.9522909777987718,7.562824752007557,3.2418516769012755,0.8709433962264151,0.9666666666666668,,0.9895797151788815
1%,0.0098814229249011,2024,Score-1,0,0.9012875536480688,0.0987124463519313,0.9454416627302789,6.8358526216343884,2.432687765706188,0.9012875536480688,1.0,,0.9479218828242364
1%,0.0098814229249011,2024,Score-2,0,0.8756855575868373,0.1243144424131627,0.9480396787907416,7.136277751535191,2.4029286726499763,0.8756855575868373,0.9090909090909092,,0.9590723055934516
0.5%,0.0049652432969215,2014,AC-RAC,0,0.9314079422382672,0.0685920577617328,0.944733112895607,6.871988663202646,3.3405762871988665,0.9314079422382672,0.9361702127659576,0.8434782608695652,0.9488801054018444
0.5%,0.0049652432969215,2014,RAC,0,0.8709433962264151,0.1290566037735848,0.9522909777987718,7.562824752007557,3.2418516769012755,0.8709433962264151,0.9666666666666668,,0.9895797151788815
0.5%,0.0049652432969215,2014,Score-1,0,0.9008620689655172,0.0991379310344827,0.9454416627302789,6.834435521965045,2.4341048653755317,0.9008620689655172,1.0,,0.9479349186483104
0.5%,0.0049652432969215,2014,Score-2,0,0.8756855575868373,0.1243144424131627,0.9480396787907416,7.136277751535191,2.4048181388757675,0.8756855575868373,0.9090909090909092,,0.9590723055934516
0.1%,0.0009970089730807,2006,AC-RAC,0,0.9343629343629344,0.0656370656370656,0.9452054794520548,6.86017949929145,3.3490788852149267,0.9343629343629344,0.9361702127659576,0.8434782608695652,0.949121426698138
0.1%,0.0009970089730807,2006,RAC,0,0.8709433962264151,0.1290566037735848,0.9522909777987718,7.562824752007557,3.2418516769012755,0.8709433962264151,0.9666666666666668,,0.9895797151788815
0.1%,0.0009970089730807,2006,Score-1,0,0.9012875536480688,0.0987124463519313,0.9454416627302789,6.8358526216343884,2.432687765706188,0.9012875536480688,1.0,,0.9479218828242364
0.1%,0.0009970089730807,2006,Score-2,0,0.8756855575868373,0.1243144424131627,0.9480396787907416,7.136277751535191,2.4029286726499763,0.8756855575868373,0.9090909090909092,,0.9590723055934516
